ID,Outstanding _principal,Prime,Joint,PV,ABP,DP,12_mo_inquires,Rev_over_90,Auto_App,BA_V,Grade,IDA,BK,Deceased,BA_change_pre _issue,BA_change_post_issue,Days_between_issue_default,Recovered
1,8476.17,1,0,2,0,0,0,0,1,0,C,314,0,0,0,0,112,1
2,31370.35,1,0,2,0,0,0,0,1,0,C,422,0,0,0,0,146,0
3,11727.27,1,0,2,0,0,0,0,0,0,C,364,0,0,0,0,124,0
4,3764.33,0,0,2,0,0,0,0,0,0,G,353,0,0,0,1,117,0
5,10000,1,0,3,0,0,0,0,0,0,B,412,0,0,0,1,48,0
6,28740.55,1,0,2,0,0,0,0,0,0,D,437,1,0,0,0,110,0
7,4681.86,0,0,2,0,0,0,0,0,0,G,328,0,0,0,0,140,1
8,13723.45,0,0,2,0,0,0,0,0,0,E,253,0,0,0,0,98,0
9,15706.75,0,0,0,0,0,0,0,0,0,F,402,0,0,0,0,82,0
10,2414.14,0,0,2,0,0,1,0,0,0,G,494,0,0,0,1,51,1
11,17684.17,0,0,0,0,0,0,0,0,0,G,475,0,0,0,0,75,0
12,3965.57,0,0,2,0,0,0,1,1,0,F,419,0,0,0,0,79,1
13,13230.44,1,0,3,0,0,0,0,0,1,C,340,0,0,0,1,176,1
14,11351.35,1,0,2,0,0,0,0,0,0,G,554,0,0,0,0,82,0
15,1434.71,0,0,2,0,0,0,0,0,0,G,217,1,0,0,0,83,0
16,12450.71,1,0,2,1,0,0,0,0,0,E,499,0,0,0,0,113,0
17,7721.71,0,0,3,0,0,0,1,0,0,G,481,0,0,0,0,113,0
18,8392.35,1,0,2,0,0,0,0,1,0,E,347,0,0,0,0,202,0
19,11943.85,1,0,1,1,0,0,0,0,0,F,451,0,0,0,0,201,0
20,15020.3,1,0,0,0,0,0,0,0,0,C,606,0,0,0,0,201,0
21,23867.71,1,0,1,0,0,1,0,0,0,C,301,0,0,0,0,112,0
22,5474.02,1,0,3,1,0,0,0,0,0,B,384,0,0,0,0,111,1
23,12704.57,0,0,3,0,0,0,0,0,0,G,448,0,0,0,1,203,0
24,11259.44,0,0,3,0,0,0,0,0,0,E,749,0,0,0,0,139,1
25,12053.18,0,0,2,0,0,0,0,1,0,G,427,0,0,0,0,173,0
26,12319.18,1,0,3,0,0,0,0,0,1,B,661,0,0,0,0,193,0
27,3775.08,0,0,2,0,0,0,0,0,0,F,361,0,0,0,1,143,1
28,17222.29,1,0,3,0,0,0,0,0,1,C,421,0,0,0,0,66,1
29,11355.5,0,0,2,0,0,0,0,0,0,G,382,1,0,0,0,153,0
30,6743.4,0,0,3,1,0,0,0,0,0,F,672,0,0,0,1,50,0
31,22935.39,1,0,2,0,0,0,0,0,0,E,315,0,0,0,1,141,0
32,30081.75,1,0,3,1,0,0,0,0,0,C,589,0,0,0,0,108,1
33,7449.31,1,0,2,0,0,0,1,0,0,C,492,0,0,0,1,153,0
34,21603.84,1,0,3,1,0,0,0,0,0,E,494,0,0,0,0,139,0
35,11936.17,1,0,2,0,0,0,0,0,0,B,147,0,0,0,0,177,1
36,29973.88,1,0,2,1,0,0,0,0,0,B,318,0,0,0,1,58,1
37,12925.81,0,0,2,0,0,0,0,0,0,F,372,0,0,0,0,202,0
38,24979.86,1,0,0,0,0,0,0,0,0,C,521,0,0,0,1,206,0
39,18101.23,1,0,2,0,0,0,0,1,0,B,292,0,0,0,0,174,0
40,18708.6,1,0,2,1,0,0,0,0,0,D,237,0,0,0,0,140,1
41,32837.65,1,0,3,0,0,0,1,0,0,C,590,0,0,1,0,81,0
42,6885.04,1,0,2,0,0,0,0,0,0,C,293,0,0,0,1,127,1
43,20000,1,0,3,0,0,0,0,0,0,B,620,0,0,0,0,52,0
44,2570.15,1,0,3,0,0,0,0,0,0,B,601,0,0,0,0,173,1
45,33445.46,1,0,1,0,0,0,0,0,0,E,648,1,0,0,0,197,0
46,18433.28,1,0,2,0,0,0,0,0,0,B,486,0,0,0,0,120,1
47,32947.6,1,0,2,0,0,0,0,0,0,C,350,0,0,0,1,210,0
48,33852.4,1,0,0,0,0,1,0,0,0,F,508,0,0,1,1,184,0
49,28351.25,1,0,2,0,0,1,0,0,0,B,403,0,0,0,0,111,0
50,16417.66,0,0,3,0,0,0,1,0,0,G,718,0,0,0,0,111,0
51,6142.75,1,0,3,0,0,0,0,0,1,E,829,0,0,1,0,175,0
52,7970.05,1,0,3,0,0,0,0,0,1,C,504,0,0,0,0,201,0
53,1857.19,0,0,3,0,0,0,0,0,0,G,398,0,0,0,0,173,0
54,8181.01,1,0,2,0,0,0,0,0,0,C,348,0,0,0,0,174,0
55,16501.59,1,0,3,0,0,0,0,0,1,D,433,0,0,0,1,50,1
56,9638.34,0,0,0,1,0,0,0,0,0,G,482,0,0,0,0,111,0
57,1136.56,0,0,3,1,0,0,1,0,0,G,556,0,0,0,0,139,0
58,6216.25,0,0,2,0,0,1,0,0,0,G,413,0,0,0,0,139,1
59,15268.93,1,0,0,1,0,0,0,0,0,F,613,0,0,0,0,108,0
60,8092.72,0,0,0,1,0,0,0,0,0,G,539,0,0,0,0,126,0
61,4310.33,1,0,3,1,0,0,0,0,0,C,737,0,0,0,0,204,0
62,11292.49,1,0,2,1,0,0,0,1,0,D,450,0,0,0,0,173,1
63,6762.26,0,0,0,1,0,0,0,0,0,F,439,0,0,0,0,209,0
64,13260.05,0,0,2,1,0,0,0,0,0,G,550,1,0,0,0,152,0
65,7703.46,0,0,3,1,0,0,1,0,0,F,522,0,0,0,0,134,0
66,11748.61,1,0,0,1,0,0,1,0,0,D,462,0,0,0,0,107,0
67,3719.87,0,0,2,1,0,0,0,0,0,F,516,0,0,0,0,113,1
68,19526.82,1,0,0,1,0,0,0,0,0,C,637,0,0,0,0,111,0
69,13580.44,0,0,2,0,0,0,0,0,0,G,254,1,0,0,0,217,0
70,2730.21,0,0,0,1,0,1,0,0,1,G,374,0,0,0,0,123,1
71,6483.69,0,0,0,1,0,0,0,0,0,G,402,0,0,0,0,85,0
72,25997.47,1,0,3,0,0,0,0,0,0,C,453,0,0,0,0,175,0
73,6169.69,0,0,0,1,0,0,0,0,0,F,393,0,0,0,1,119,1
74,10807.75,0,0,0,1,0,0,0,0,0,E,596,0,0,0,0,53,0
75,10995.88,0,0,0,1,0,0,0,0,0,E,465,0,0,0,0,117,1
76,4310.47,1,0,2,1,0,0,1,1,0,C,328,0,0,0,1,139,1
77,13862.64,0,0,2,1,0,0,0,0,0,F,645,0,0,0,0,185,0
78,4721.58,0,0,0,1,0,1,0,0,0,G,375,0,0,0,0,142,0
79,4547.97,0,0,3,1,0,0,0,0,0,G,457,0,0,0,0,202,0
80,15006.29,0,0,0,1,0,0,0,0,0,G,551,0,0,0,0,173,0
81,6781.52,0,0,0,0,0,0,0,0,0,G,635,0,0,0,0,83,0
82,11245.03,1,0,0,1,0,0,1,0,0,G,479,0,0,0,0,181,0
83,12119.43,0,0,3,1,0,0,0,0,0,G,572,0,0,0,0,201,0
84,6000,1,0,3,1,0,0,0,0,0,B,685,0,0,0,0,52,0
85,1995.33,1,0,0,0,0,0,0,0,0,F,455,0,0,0,0,114,0
86,12976.35,0,0,3,1,0,1,0,0,0,G,571,0,0,0,0,174,0
87,5000,0,0,3,1,0,0,0,0,1,E,806,0,0,0,0,50,0
88,13612.04,0,0,2,1,0,0,0,0,0,G,379,0,0,0,1,200,1
89,15000,0,0,2,1,0,0,0,0,0,G,573,0,0,0,0,62,0
90,10424.96,0,0,0,1,0,0,1,0,0,G,598,0,0,0,0,121,0
91,8636.08,0,0,2,1,0,0,0,0,0,G,544,0,0,0,0,173,0
92,23377.4,1,0,2,1,0,0,0,0,0,E,486,0,0,0,0,81,0
93,5452.75,1,0,2,1,0,0,0,0,0,E,472,0,0,0,0,215,0
94,8492.63,1,0,1,1,0,0,0,0,0,C,708,0,0,0,0,202,0
95,13123.25,0,0,0,1,0,0,0,0,0,E,615,0,0,0,0,80,1
96,5378.83,0,0,0,1,0,0,1,0,0,G,586,0,0,0,0,201,0
97,3778.41,0,0,0,1,0,0,0,0,0,F,337,0,0,0,0,142,0
98,14464.89,0,0,2,1,0,0,0,0,0,G,409,0,0,0,0,112,0
99,13617.32,0,0,0,1,0,0,1,0,0,G,586,0,0,0,0,175,0
100,8400,0,0,2,1,0,0,0,0,0,F,462,0,0,0,0,52,0
101,3558.55,0,0,0,1,0,0,0,0,0,F,367,0,0,0,0,93,0
102,2963.79,0,0,0,1,0,0,0,0,0,G,538,0,0,0,0,113,0
103,10800,0,0,3,1,0,0,0,0,0,G,155,0,0,0,0,56,0
